ADDRESS;METRIC;2018 jan;2018 feb;2018 mar;2018 apr;2018 maj;2018 jun;2018 jul;2018 aug;2018 sep;2018 okt;2018 nov;2018 dec
 M„ngatan 1  ;kWh;2305;2189;2249;1649;1468;1206;1224;1116;1230;1440;1653;2217;
 M„ngatan 3  ;kWh;3883;3554;3879;3747;3752;3469;3599;3644;3528;3545;3598;3706;
 M„ngatan 5  ;kWh;1335;1178;1300;1229;1285;1219;1265;1270;1198;1330;1335;1316;
: 221  Norrskenet 1  ;kWh;165;186;168;174;255;332;290;284;270;285;326;388;
: 222  Planeten 2  ;kWh;3678;3338;3608;3296;3474;3093;2901;3307;3386;3586;3136;2957;
: 224  Regnb„gen 1  ;kWh;295;272;296;272;274;260;291;277;281;302;308;318;
Uthus/ V−rmecentral ;m3;1086;977;1003;720;354;256;191;288;372;659;864;1054;
Uthus/ V−rmecentral ;MWh;56410;54930;53890;34460;16280;12440;8690;13170;20660;34730;43300;53720;
Uthus/ V−rmecentral ;kWh;2604;2117;1752;1156;900;725;738;912;1044;1392;1741;2017;
 Jaxtorget 9  ;MWh;6993;7269;6978;3668;0939;0686;0342;0679;1831;3753;5221;6597;
 Jaxtorget 9  ;kWh;1116;1084;859;776;727;691;682;611;692;755;838;883;
 St„nggatan 27 A-H  ;m3;887;839;862;599;296;231;172;217;338;563;721;896;
 St„nggatan 27 A-H  ;MWh;51436;50789;50075;31011;13438;10584;7077;8863;17659;29906;38381;49501;
